"specifications_AC","specifications_APPEARANCE","specifications_CAPACITY","specifications_CLAIMS & CERTIFICATIONS","specifications_Capacity","specifications_Carton","specifications_Certifications & Approvals","specifications_Controls","specifications_DIMENSIONS","specifications_Dimensions: Exterior","specifications_ELECTRICAL RATINGS","specifications_Electrical Specifications","specifications_Energy Efficiency","specifications_FEATURES","specifications_General Specifications","specifications_LIMITED WARRANTY","specifications_MATERIALS/FINISHES","specifications_PERFORMANCE","specifications_POWER / RATINGS","specifications_Performance","specifications_Product Weight","specifications_SUMMARY","specifications_Unit Dimensions","specifications_WARRANTY","specifications_WEIGHTS & DIMENSIONS","specifications_no_title"
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","{'Bucket': '11.5 pints', None: None}","","","","","","","","{'Amps': '4.5', 'Watts': '240', 'Operating Temp': '41', None: None, 'Estimated Yearly Energy Cost': 'n/a'}","","","","","","","","{'Ship Weight': '41 lbs.', None: None, 'Net Weight': '34 lbs.'}","","{'Width': '13 1/4""', 'Depth': '9 1/2""', 'Height': '21 1/2""'}","","","{'Watts': '240', None: None, 'Estimated Yearly Energy Cost': 'n/a', 'Bucket': '11.5 pints', 'Net Weight': '34 lbs.', 'Height': '21 1/2""', 'Width': '13 1/4""', 'Depth': '9 1/2""', 'Operating Temp': '41', 'Amps': '4.5', 'Ship Weight': '41 lbs.'}"
"","","","","{'Bucket': '16.2 pints', None: None}","","","","","","","","{'Amps': '5.9', 'Watts': '533', 'Operating Temp': '41', None: None, 'Estimated Yearly Energy Cost': 'n/a'}","","","","","","","","{'Ship Weight': '44 lbs.', None: None, 'Net Weight': '39 lbs.'}","","{'Width': '15""', 'Depth': '12""', 'Height': '23 1/4""'}","","","{'Watts': '533', None: None, 'Estimated Yearly Energy Cost': 'n/a', 'Bucket': '16.2 pints', 'Net Weight': '39 lbs.', 'Height': '23 1/4""', 'Width': '15""', 'Depth': '12""', 'Operating Temp': '41', 'Amps': '5.9', 'Ship Weight': '44 lbs.'}"
"","","","","{'Bucket': '16.2 pints', None: None}","","","","","","","","{'Amps': '7.7', 'Watts': '746', 'Operating Temp': '41', None: None, 'Estimated Yearly Energy Cost': 'n/a'}","","","","","","","","{'Ship Weight': '52 lbs.', None: None, 'Net Weight': '47 lbs.'}","","{'Width': '15""', 'Depth': '12""', 'Height': '23 1/4""'}","","","{'Watts': '746', None: None, 'Estimated Yearly Energy Cost': 'n/a', 'Bucket': '16.2 pints', 'Net Weight': '47 lbs.', 'Height': '23 1/4""', 'Width': '15""', 'Depth': '12""', 'Operating Temp': '41', 'Amps': '7.7', 'Ship Weight': '52 lbs.'}"
"{'Filter Type': 'Anti-Bacterial Mesh', 'Low Temperature Operation': 'Yes', 'Relative Humidity Range Manual': '35%-85%', 'Air CFM (Low)': '100', 'Continuous Drain Operation': 'Yes', 'Charge - ozs': '5.29', 'Container Capacity - Pints': '7.6', 'Bucket Full Indication': 'Yes', 'Motor RPM (High)': '1350', 'Air CFM (High)': '124', 'Motor RPM (Low)': '1050', 'Bucket Style': 'Front Pull Out', 'Noise Level dB (High)': '52', 'Fan Speed - Fan - General': '3', 'Filter Access': 'Rear', 'Filter Check': 'Yes', 'Digital Humidity Readout': 'Yes'}","","","","","","{'CSA Listed': 'No', 'NSF(R) Certified': 'No', 'ENERGY STAR(R) Certified': 'Yes', 'ETL Listed': 'No', 'Safety Certification': 'UL/CUL', 'UL Listed': 'Yes'}","{'Control Location': 'Top Center', 'Control Type': 'Electronic', 'Auto Shut-Off': 'Yes'}","","{'Width': '13-13/16""', 'Depth': '10-1/2""', 'Height': '20-1/2""'}","","{'Voltage Rating': '115V 60Hz', 'Watts (Cool)': '320', 'Plug Type': '5-15P', 'Horsepower (Cool)': '0.43', 'Amps (Cool)': '3.2', 'Power Cord Length': ""6' (6-1/2')""}","","","{'Carton Width': '1.310000', 'Carton Depth': '0.990000', 'Carton Height': '1.840000'}","","","","","{'EEV (Liters per kW-hour)': '1.85', 'Performance Certification': 'AHAM', 'Dehumidification-Liters/Day': '14', 'Dehumidification -Pints/Day': '30'}","","","","","",""
"{'Filter Type': 'Anti-Bacterial Mesh', 'Low Temperature Operation': 'Yes', 'Relative Humidity Range Manual': '35%-85%', 'Air CFM (Low)': '159', 'Continuous Drain Operation': 'Yes', 'Charge - ozs': '7.23', 'Container Capacity - Pints': '13.1', 'Bucket Full Indication': 'Yes', 'Motor RPM (High)': '1130', 'Air CFM (High)': '182', 'Motor RPM (Low)': '930', 'Bucket Style': 'Front Pull Out', 'Noise Level dB (High)': '51', 'Fan Speed - Fan - General': '3', 'Filter Access': 'Rear', 'Filter Check': 'Yes', 'Digital Humidity Readout': 'Yes'}","","","","","","{'CSA Listed': 'No', 'NSF(R) Certified': 'No', 'ENERGY STAR(R) Certified': 'Yes', 'ETL Listed': 'No', 'Safety Certification': 'UL/CUL', 'UL Listed': 'Yes'}","{'Control Location': 'Top Center', 'Control Type': 'Electronic', 'Auto Shut-Off': 'Yes'}","","{'Width': '15""', 'Depth': '11-5/8""', 'Height': '24-7/16""'}","","{'Voltage Rating': '115V 60Hz', 'Watts (Cool)': '530', 'Plug Type': '5-15P', 'Horsepower (Cool)': '0.71', 'Amps (Cool)': '4.8', 'Power Cord Length': ""6' (6-1/2')""}","","","{'Carton Width': '1.310000', 'Carton Depth': '0.990000', 'Carton Height': '1.840000'}","","","","","{'EEV (Liters per kW-hour)': '1.85', 'Performance Certification': 'AHAM', 'Dehumidification-Liters/Day': '24', 'Dehumidification -Pints/Day': '50'}","","","","","",""
